num,date,rating,userName,content
11,2020년 1월 31일,3,Google 사용자,광고보기해서 무료로 아이템을 얻을라하면 한번보고나서 껏다 다시켜야지 광고를 다시볼수있네요. 그러지않으면 계속 광고준비중으로 있구요.. 그리구 이것저것 눌러서 뭐하거나 스테이지클리어하고 난 후나 로딩이 너무 길어요.. 갤럭시 10 5g인데 폰문제는 아닌거같아요 ㅠㅠ 그래도 게임은 정말 재밋어요! 그래서 참고 계속 하구있어요!
12,2020년 1월 18일,3,Google 사용자,물론 이 게임이 할만합니다. 눈이 안아픈 스킬과 하나에 스테이지 마다 제가 성장해가는 과정을 보여주니 전 할만 하지만은 현질 유도가 너무나도 심한 것 같습니다. 스테이지를 못 도는 상태에서 너무나도 할수없는게 많습니다. 장비확률도 너무 적고 개선해주었으면은 합니다. 평점 3점드리겠습니다. 앞으로도 재미있는 게임이 되었으면 합니다. 삭제하지 않고 계속 앱에 설치해 둘 겁니다. 감사합니다.
13,2020년 1월 26일,4,Google 사용자,정말 좋은 갓겜입니다! 하는동안에 수집해서 저의 캐릭터가 삐까번쩍해질때마다 만족감이들며 기분이 좋았습니다. 그런데 성9의 난이도가...정말 어렵더군요 난이도좀 낮춰주시면 좋겠네요 그리고 던전을 도는데 클리어를 했음에도 로딩중표시만 되고 나가면 클리어 보상도 안들어오고 영혼석만 없어지거나 남아있는 경우도 있었읍니다. 고쳐주시면 감사하겠습니다
14,2020년 1월 23일,5,Google 사용자,"스킬을 해금하면서 업글도 할수있어서 재밌음, 그리고 의뢰게시반에서 보스 잡아서 장비 나오고, 나온 장비들로 강해지는게 아주 좋음. 다만 불편한점이 있는데 게임을 하는 도중에 와이파이가 잘 터지는데 자꾸만 무한 로딩이 걸려서 껐다키니까 백섭이 되기 때문에 불편함 무한로딩 좀 어떻게 해주삼"
15,2022년 2월 10일,5,Eunhwan Kang,점점 뒤로갈수록 노가다성이 강해지고 템을 뽑으려는데 뽑는데 게임을 몇백에서 몇천판을 돌려야 하다보니 점점 게임이 반복되고 지루해집니다.뭔가 더이상 게임이 손에 잡히질 않는 느낌이랄까? 이 게임 처음 2달동안 정말 재밌게 플레이했는데 이제 열심히는 아니고 뭐 생각날때마다 한번씩 할것같네요.이런 게임에 기초가 되는 문제라서 딱히 해결방법이 있는것은 아니지만 답답한 마음에 한번 남겨봅니다.
16,2021년 12월 27일,5,행자,5성 캐릭 정말 잘나오는 게임입니다 너무 잘 나오니까 누굴 써야할지 어려울정도.. 그리고 스킬도 직접 손으로 그려서 스킬 쓸 때 화면 보는 맛이 있습니다. 광고도 필요할때 보면 되고 좋습니다. 디펜스 게임류인데 스킬도 많고 스킬이 승부에서 중요하기 때문에 컨트롤 여지도 있고 재밌습니다 한가지 건의할 점은 스킬을 사기 전에는 체험할 수 있는데 사고 나면 체험을 못하는게 아쉽습니다. 스킬도 많은데 바꿔끼기 전에 체험 한번 해보고 바꿨으면 좋겠는데 그냥 돈되는대로 샀더니 무슨 스킬인지 확인이 안돼서 직접 장착해서 써봐야한다는 점이 불편하네요 ㅜㅠ
17,2019년 9월 9일,1,Google 사용자,오늘 깔았는데 20스테이지에서 자꾸 다운돼서 게임진행을 못하고 있습니다. 그리고 상대가 스턴을 당했을때 넉 백 스킬을 쓰면 뒤로 밀려나지 않는데 수정해주시면 감사하겠습니다. 그리고 인벤토리 창이 약간 조잡하다고 해야되나 쓸모없는 아이템들을 모두선택하는 버튼과 팔 수 있게끔 해주시면 감사하겠습니다.
18,2020년 5월 16일,1,끾끾이,"지금 이게 몇 번이에요...저번엔 도시 스테이지 중간보스에서 로딩화면만 떠서 3번이나 지웠다 깔아도 안 됬고..재미는 떨어졌고,지금은 패치 됬을 거라 믿고 있었습니다.하지만...이번은 더 심각합니다.게임 시작 로딩에서 화면이 막히고 버튼은 눌러집니다.이게 뭔 말이냐면 화면은 로딩인데 실제로는 메인화면이라고요...이러면 강화도 못 하고 스테이지 들어간다 해도 스킬을 못 써요.저는 오락용으론 삼성 태블릿을 쓰는데,그 도시 증간보스까진 아무 문제 없었읍니다.이게 하라고 만든 겁니까?그것만 고쳐주신다면 갓겜입니다.다 좋은데 그거 때문에 팍 망겜 되버렸어요."
19,2019년 12월 4일,4,Google 사용자,"게임자체가 엄청나게 신선한 게임은 아니지만 우리가 아는 익숙함과 우리가 폰으로 누릴 수 있는 편리함 두 개를 모두 잡은 게임. 간편한 조작과 주인공의 외형이 장비를 바꾸면 같이 바뀌는 등의 시스템이 이목을 끌며 독특한 그림체에서 나오는 화려한 스킬들이 게임을 절대 지루하게 끌지 않는다. 주인공을 육성하는 맛, 스킬을 해금하고 쓰는 맛, 그리고 과금을 유도하지 않으며 아이템을 수집하는 맛까지 제대로 살렸다. 다만 4점을 준 이유는 PvP에서는 긴장감이 AI전에 비해 지나치게 떨어지고 재미가 없다. 그리고 컨텐츠가 적어 빨리 질리기 쉬우며 스킬의 종류가 많아보이지만 생각보다 적고 쓰는게 한정적이라 금방 질린다. 재밌는 게임인건 사실, 하지만 결국 나루토의 스킬들 중 가져온 기술이 많아 안 좋은 시선을 갖게 될 수도 있을 것 같다."
20,2020년 3월 25일,5,Google 사용자,정말 타격감도 좋고 아이템 드랍률은 말할것도 없고 중간중간 나오는 재미를 더해주는 스토리에다가 항상 메일 선물로 오는 영혼석 덕분에 게임 스토리 진행을 맘껏 할수 있고 출석 보상으로 나오는 황금영혼석 덕분에 스토리가 막힌다 싶으면 전판 보스전 토벌로 아이템 벌면 다시 진행이 가능한 데다가 도전 실패하면 영혼석을 돌려주는 시스템 덕분에 덱을 마음대로 바꿔가며 할 수 있다. 또한 타 게임들처럼 보석을 과금해야만 주는 것이 아니라서 무과금으로도 충분히 보석 파밍 가능. 그리고 무조건 강한 스킬들로 덱을 채워서 플레이 해야만 깰 수 있는게 아니라 스킬을 바꿔가면서 전략적으로 플레이 할 수 있다는게 정말 마음에 들었다. 그리고 이런 게임에 성우 보이스가 있을 거라곤 상상도 못했는데 캐릭터마다 목소리가 있어서 캐릭터들의 개성을 잘 살린 게임이다. 그리고 광고 몇번 보는걸로 쓰기에 따라서 엄청난 이득을 볼수 있다. 한가지 바라는 점이 있다면 이 게임이 흥행했으면 하는거다. 한줄요약: 갓겜
21,2020년 7월 23일,3,ᄅᄋ,갓겜이라기엔 한물갔다. 운영이나 컨텐즈 업데이트가 정말 오래기다려야 하나씩 나온다. 뉴비들이나 신규유저들이 들어올만큼 뉴비에게 친절한 시스템은 없다. 특히 마을이라는 타게임의 길드와 같은 시스템은 이 닌자대전에선 의미가 없다. 공카만 가도 최소컷이란게 존재하는데 최소컷에 진입하려면 운좋아야 일주일 늦게는 한달이 걸릴수도 있다. 또한 쫄뚝쫄장을 맞춤과 동시에 시작인데 이 과정또한 만만치 않다. 과금을 해도 뽑기 운빨이 극악이며 특정 캐릭터를 제외하곤 버려지는 캐릭터가 대다수다. 몇개월간 플레이를 한 뉴비입장에서는 고인물게임이라고 밖에 평가를 줄 수 없다. 마을 시스템을 갈아 엎지 않는 이상은 부질없는 게임시스템이다. 들어가보아라. 아무도 환영하지 않는 뉴비에게 길드(마을) 시스템은 답이없다. 오죽하면 직접 개설하겠는가. 직접 개설하더라도 마을퀘스트가 상당히 중요한 비중을 차지하는데 뉴비가 마을퀘스트를 깨기란 바위에 계란치기다.
22,2020년 2월 1일,3,Google 사용자,게임은좋아요!시간날때할수있구요 틈틈히 해도재미있고 심심할때도 하면 잼있어요 근데 아쉬운게3가지 정도있어요 1번뽑기:뽑기가 조금그레요~좋은게잘안나와요 지금4일찬데4성1개...ㅠㅠ 부적도 안좋은거만 나오구요 뽑기확률높여주세요 2번난이도:난이도가 갑자기 확~! 높아질때가있어요 보스나오는 구간말고도 많아요 그레서 뽑기해서 좋은거뽑아야지 앞으로 전진할수있는데 잘안나온다는 것도있어서 광고 많이 봐야되구요 토벌을 많이해야되요 조금 벅차드라구요ㅎㅎ...난이도 하양도 생각해보셧으면 합니다 3번아이템:아이템이 너무안좋아요 반짝반짝 거리것이 기본탬보다 방어력낮아요 2개정도 스택 붙어있어도 그냥 기본옵션만 있는 기본아이템이 훨씬 효율이높아요. 옵션도 있고 방어력도 높은 아이템은 제일높은 수준의 아이템 밖에없어요. 따로 뽑을수있는 아이템 상점도 만들어주셧으면 좋겠네요 드랍율도 조금 높여주시구요 10번토벌하면 4~5번만 아이템나와요 게임 개선좀 부탁합니다. 닌자대전ㅎㅇㅌ
23,2021년 4월 22일,1,이형준,이번에 업데이트를 하고 광고를 하나 볼때마다 에러창이 뜨면서 게임이 정상적으로 작동이 안되는 현상이 일어나고 있습니다 저는 그 에러라는 창이 뜰때마다 매번 게임을 다시 껏다가 다시 켜야되는 굉장히 귀찮은 상황입니다 신규 유입된지 얼마 되지않아 나름 재미있다고 생각하면서 꽤 열심히 플레이 하고있었는데 갑자기 하고 싶다는 생각이 뚝 떨어지게 되네요 이러한 문제들은 빠르게 고쳐주시면 감사하겠습니다
24,2019년 11월 16일,5,Google 사용자,대 유잼^^ (big yes jam) 게임을 되게 개성있고 재미있게 만드십니다. 게임을 하면서 아쉬운점이 있다면 타 게임내에서 유저들이 편하게 플레이하는 부분을 좀 더 추가해주셨으면 합니다. 1. 덱편성을 결투장 따로 모험덱 따로 모험덱은 3개이상 되면 더 좋을듯합니다 2. 자동스킬사용기능 아직 게임이 소프트런칭 단계라서 게임의 재미를 저하하는 시스템이니 유명해지고나면 한 번 고려해주세요! 그럼2만! 닌자대전 대유잼^^
25,2020년 7월 4일,5,쉬는너굴,"얼마전에 시작한 초보 유저입니다. 간만에 이렇게 재및는 게임은 처음 본거 같네요 장점이 너무 많습니다. 스킬 퀄리티,영웅등등 장점도 많지만 단점도 조금 있네요 스토리를 진행하다 보면 영혼석이 떨어져 다음 껄 시작을 못해서 영혼석을 쉽게 얻을 수 있게 해주시면 감사하겟습니다^^"
26,2020년 2월 25일,5,Google 사용자,기본적으로 재미있습니다. 다만 메뉴 선택 조작감이 여태한 게임 중에서 처음 겪는 조작감이네요..; 한번에 전환이 되지 않는 것이 플레이하는데 지장은 없지만 조금 많이 불편합니다.ㅠ 개선 부탁드립니다.
27,2020년 1월 17일,4,Google 사용자,"일반,고급 등급 아이템 나왔을 때는 광고보고 추가로 얻기해서 잘 나오던 광고가 신화등급 아이템을 얻고 광고보기 누르니 준비되지 않았다 합니다. 한 두번도 아니라서 일부러 그렇게 설정한 듯한 느낌을 받습니다. 평가글이라서 솔직하게 말씀드립니다. 혹시 제 어감이 기분을 상하게 했다면 미리 죄송합니다. 더 나은 게임을 위해 개선 부탁드립니다."
28,2020년 3월 15일,1,Google 사용자,답변 바랍니다 게임을 하고 싶은데 실행하고 5~6분정도가 지나면 와파 풀인데도 불구하고 계속 끊깁니다. 수정하겠습니다 . 불행하게도 제가 최근 가장 재밌게 즐기던 게임이 닌자대전이였습니다. 그런데 무엇이 문제인지 이제는 접속을 하는 과정에서 튕깁니다.... 젭속을 가까스로 한 적이 있습니다. 이제는 안 끊겼으면...하고 있는데 바로 30초뒤에 튕기는 매직을 보았습니다. 이게 도대체 무슨 상황인지...
29,2019년 9월 27일,2,Google 사용자,스테이지가 늘어날수록 난이도와 들어가는 돈은 많아지지만 획득머니가 너무 작습니다. 1스테이지 중간보스가 1300원을 주는데 4스테이지 19라운드가 1300원이면 너무 수지타산이 맞지않습니다. 그리고 게임에 이벤트와 퀘스트가 너무 부족합니다. 퀘스트가 스테이지를 진행해야지만 가능하것 뿐이라 사람들이 게임에 쉽게 질리기 쉬울거같습니다
30,2020년 11월 8일,5,튀랑랑,"아주 잼있네용 다만, 스킬 쓸 때 내가 스킬 쓸 곳 터치한 이후에 한 번 더 스킬이 사용되어지는 부분이 표시 되었으면 좋겠어요 아님 스킬 쓸 때까지 쭈욱 표시되어있던가 빠르게하다가 그냥 내 캐릭터 자리가 찍힐때 있는데 그 때 제대로 쓴 줄 알고 연속으로 스킬 써서 낭패를 보는 경우가 쫌 나오네요 그거말곤 다른 건 다 짱짱!!"
31,2019년 12월 9일,5,Google 사용자,(급) 게임종료 버튼이 없는건가요 아님 제가 못찾는건가요? 뒤로가기 버튼을 눌렀을때 게임종료버튼이 있다면 좋겠어요 아직 많이 해보지는 않았지만 흥미로운 게임이네요 캐릭터간 밸런스 조절을 어떻게 하는지가 관건일거 같네요 부디 캐릭터간 개성과 능력을 상황에 따라 적절히 바꿔가는 그런 전략게임이 되면 좋겠어요
32,2019년 12월 30일,5,Google 사용자,":: 요약 :: ①내 인생게임이다. ②오픈단톡방은 소외감 느껴질 수 있다. 질문을 해도 답변 받기는 쉽지않다. (1000명을 넘겼으나, 나가고 들어오고를 반복중이다./알람은 끄고, 자신의 닉네임을 키워드 설정하는 것을 추천한다.) ③그러니 카페에서 질문을 하거나, 검색해보자! ④국민 덱 [수3 목3]은 고정이고, [토2, 환2, 체4, 그 외 등등] 잘 맞쳐쓰는 것 같다. 도움이 되었다면 떠따떠따 구독해주면 좋고요~~ (전문가 처럼 보이려고 흉내를 내는 거지 전문가는 아닙니다.. 또르륵...) 안녕하세요. 닌자대전 무과금 5일차 '떠따떠따'입니다. 이게임닉네임은 '떠따' 이고, 닌자대전 오픈단톡방 닉네임은 'o떠따떠따[5일차]【닌자대전】'입니다. 튜토리얼 잘 따라하시고, 기억해뒀다가 요래 조래 만지작하시면 점점 능숙해지고, 이것 저것 다 보면 이런식으로 돌아가는 구나를 알 수 있습니다. 5일차인 저도 다 마스터한 것은 아니지만, 성-8 까지 클리어하였습니다."
33,2021년 8월 22일,5,Dongkeum Lee,작년에 하다가 어려워져서 지우고 올해 다시하기 시작했는데 역시나 재밌고요^^ 무지 무지 넘나 아쉬운게 하나있는데요ㅠㅠ 전엔 공격할때 화둔!!목둔!!토둔!! 하는 성우님 목소리가 나와서 뭔가 속시원한 재미도 있고 이게임 얘기하면 그부분이 퀵.포인되서 그소리로 즐거움을 야기했는데 왜 이번엔 나오질않고 훅훅훅하는 손 모션 소리만 들릴까요?? 설정을 잘못해서인지 알려주세요~~~~ 아무리 찾고 설정해도 나오질 않네요.. 너무 아쉽습니다 다시 나오게 하는 방법좀 알려주세요오ㅠ
34,2020년 9월 21일,3,gotrek gurnisson,게임은 재미있습니다만 현질로 빠른 성장 기대하시는 분들은 비추입니다. 왜냐면 장비구하는게 극악입니다..장비 획득확률이 초극악인거만 빼면 만족스럽게 하고있습니다. 공식카페에는 대부분 몇개월 만에 얻는다는데 누구는 3일차에 그냥 구했다더군요.. 현타 쎄게 왔지만 현질하면 한달은 해보는 성격이라.. 저도 현질 통해서 보석 다 박았는데 정말 안나옵니다.. 확률게임 싫어하시는분은 비추합니다.
35,2019년 9월 20일,5,Google 사용자,어렵지않고 가볍게 할수있어서 좋네요^^ 그런데 스테이지마다 아이템최상옵이 나오는걸로 되있는데 너무 희박하네요 너무 다운시켜놓은건 아닌지... 가끔 먹는재미도 있으면 좋겠어요^^ 그리구 5분순삭이라...안할때 안하더라두 15판하는건 너무짧고...100이나 아니면 15판씩 주는걸 자주줬으면 좋겠어요!!
36,2020년 1월 28일,5,Google 사용자,게임은 재밌게 플래이 하고 있습니다. 그런데 순수대련에서 상대방 공경력이 너무 높게 잡혀서 계속 패배만 하는데 초보자들한테 불리한거 같습니다. 매칭을 공경력 비슷한 사람들끼리 만나게 하면 더 좋을거 같습니다.
37,2020년 3월 2일,5,Google 사용자,광고선택가능.(시청시 적절한보상) 그래픽이 일관성있게 재미있음. 아직 컨텐츠는 부족하나 술법을 통해 몰려오는 적을 물리지늘 디펜스류의 재미요소가 확실함. 요즘 손놓고 감독같이 케릭터 영입과 배치에만 신경쓰는 게임에 질린분께는 확실한 기분전환이 됨. 그 이상은 좀더 해봐야 알겠음
38,2020년 4월 9일,5,Google 사용자,타격감이 예술인 하나의 평작 1.일단 타격감애기를 안할수가 없다. 각각의 특성에따른 효과와 이펙트가 게임의 재미를 먹여살렸다 다만 쓰는것만 쓰이고 다른건 예능으로 쓰이는 스킬들이 많고 환술 체술이 스킬수가 적어 그것만 파서 본인만의 세계를 걸을수가 없다는게 좀 아쉽다. 2.난이도벨런싱 문제. 성9는 말할것도 없고 이미 벨붕이 유명하니깐. 기본적인 스토리는 현질이나 큰 노가다 없이 깨게끔 만드는게 가장기본적인 옳은 설계라고 생각한다. 기본스토리 그후 추가컨텐츠(캐릭스킨.보스전등등)나 추가스토리에서 현질이 선택적 사항 이 되게끔 하는게 좋은데 이 게임은 그걸 실패했다. 갈수록 노가다와 기다리는 건 기본. 원거리몬스터의 대미지설정도 실패하여 스트레스만 유발한다 원거리몬스터 때문에 쓸모있는 스킬만 쓴다; 즉 자유도 별로없음 3.가끔 로딩중 0퍼와 50퍼를 수 없이 오가며 로딩이 안되는 버그가 있다. 게임종료버튼 좀 만들어주라 뒤로가기 눌러도 안나가져 일좀해요 +(정성들인 답변이라 5점박고감
39,2020년 2월 22일,5,Google 사용자,게임은 재밌으나 각각 스테이지별 난이도가 높아 성장하기위해 많은 시간을 투자해야 하는 게임 그러나 게임은 재미있어서 천천히 게임을 오래하시는 분한테 추천드리나 좀 게임을 급하게 하시는 분은 난이도때문에 열 받을 수 있어 그런 분은 안하시는 걸 추천드려요
40,2020년 6월 17일,5,배동휘,갓갓갓겜 인데 공식카페 좀 확인하세요. 스킬 벨런스(계수) 같은거는 수치 계산하면 금방 패치할 수 있잖아요. 아직 뉴비여서 하루하루가 재밌지만 공카에 들어가면 버그에 벨런스로 말이 너무 많아서 벌써부터 걱정이 됩니다. 좋은 게임은 출시시점에서 끝나는게 아니잖아요. 운영도 중요합니다. 그럼 ㅎㅇㅌ
41,2022년 8월 28일,5,봉투좀비,복귀유저입니다. 지금도 재밌긴한데 코인떼문에 인술을 사지 못하고 있습니다. 옛날에는 전투를 할때마다 이겼지만 현재는 계속 지는 수준입니다. 복귀 유저예게 코인과 뽑기를 무료로 나눠주는것도 나쁘진 않을겁니다. 다만 복귀유저들은 차이가 너무 심해서 현질유도가 많이 되니까. 제발 무료로 골드나 캐릭 뽑기좀 주면 감사하겠습니다.
42,2022년 9월 8일,5,김유정,안녕하세요 게임을 재밋게 하고 있는데 아이폰으로 할 때는 안그랬는데 갤럭시 폴드2 로 기기변경을 하고 하니 화면 하단 부분이 짤려서 보이지 않습니다... 수정 되면 좋겠습니다.
43,2022년 10월 7일,5,박태,스테이지 클리어중 막혔을때 해결방안도 많고 다 좋습니다 근데 닌자 레벨업이 너무 느린것 같아요 1.5배만 경험치 휙득이 높아져도 정말 재밌을 것 같습니다
44,2022년 10월 21일,5,정혜정,아주아주 재미있고 훌륭한 겜인데... 닌자자릭터 다른 ~륜들은 각성이있는데 수륜만각성이 없네요 황실정예 수륜 만들어주시면 감사하겠습니다.
45,2022년 10월 7일,1,구리드,이거 18 이벤트 보상받는것도렉걸려서 몇번씩 팅기는건지 공략도 거지같고 걍 게임이답이없음 템파밍? 은 한달해도 제자리걸음
46,2022년 10월 6일,5,남태욱,광고제거 구독취소가 왜 개월 일시정지 밖에없죠? 한달만 하고 안하려고 했는데 어떻게 된건가요?
47,2022년 9월 29일,1,민val,아니 무슨 와이파이쓸때는 에러 안걸리거니 데이터만 쓰면 자꾸 에러가 걸립니다 이것좀 고쳐주세요 제발 pls
48,2022년 8월 31일,4,건민이의종합채널,안녕하세요 닌자대전을 시작한지 1주일 된 유저입니다 저는 닌자대전을 즐겨했는데 이번에 업데이트가 안돼서 지웠다가 다시 깔았는데 계속 팅김 현상이 일어납니다 주변 제 친구도 이런 현상이 나타났는데 이거 정말 재밌는데 지금 팅김 때문에 보상도 못받았습니다ㅠㅠ 제 글을 보셨다면 제발 이 현상을 고쳐주실수 있을까요?ㅠㅠ
49,2022년 8월 19일,2,익명,몇번이나 에러로 나가지는지 모르겠네요. 아무 전조도 없이 에러가뜨고 껏다켰다 반복하다가 리뷰남겨요..
50,2022년 9월 1일,1,Chris L,요즘은 재미없어서 자주안하지만 아무리그래도 현질을 그렇게했는데 3일째 접속이 안되는데 조치를 안한다는건 그냥 유저를 ㅈ으로 아는거라고 생각할수 밖에 없습니다
51,2022년 8월 31일,1,박제윤,업데이트 하면 게임이 안켜집니다 공식카페 들어가보세요 개선도 안하고 운영진이 돈에 맛들려서 소통 전혀안하고 패키지만 만들생각만하고 업데이트 할때 마다 이러니까 답이 없습니다. 제발 이런 발전없는 게임 돈쓰지마세요
52,2022년 8월 31일,1,최준일,ㅋㅋㅋㅋ 쓰레기게임 방치운영 2틀동안 제대로된 접속도안됨 본인들이 테스트도안해보고 유저상대로 테스트하다가 이번에 지대로 물림 특정기기라는데 안드로이드 구버전말곤 대부분 접속안됨 과금은 메이저게임 뺨따구 칠정도임 무능을넘어 무지함
53,2022년 8월 30일,1,한조각,1년전 별점5개 주면서 극찬했는데 이제는 추천안합니다 업데이트 할때마다 역대급 오류가 생겨서 유저 스트레스받게 만들어요
54,2022년 8월 30일,2,전대준,이번 업데이트 되면서 게임을 들어가면 검은 화면이 뜨면서 바로 튕기면서 나가지는데 이건뭐죠?(저는 스마트폰 유저입니다)
55,2022년 8월 31일,2,정태영,"업데이트이후, 키자마자 꺼집니다 재설치를 해도, 폰재부팅을해도 마찬가집니다"
56,2022년 10월 10일,3,이유찬,다 좋은데 스테이지 난이도가 너무 어려워요 좀 낮춰주세요 그러면 5점이에요
57,2022년 9월 12일,3,박원용,구독 광고제거 자동결제취소부탁드립니다 이메일보냈는데 답변도 안하시고 자동결제 왜이렇게설정하셨나요? 수령안하였으니 취소부탁드립니다
